name,url,is_member,promoted,price_tier,review_count,overall,food,service,ambience,value,noise,pct_recommended,neighborhood,cuisines,dining_style,dress_code,chef,tags,primary_cuisine,sanitizing,distancing,ppe,screening,newly_added,precautions,any_precautions,earliest,days,reviews_per_day
Row House,https://www.opentable.com/row-house,1,False,1,591,4.2,4.1,4.0,4.2,4.1,Moderate,85.0,Harlem,"American, Tapas / Small Plates",Casual Elegant,Smart Casual,Norberto Farciert,"Bar/Lounge, Beer, Chef's Table, Cocktails, Full Bar, Gluten-free Menu, Happy Hour, Late Night, Non-Smoking, Outdoor dining, Patio/Outdoor Dining, Private Room, Weekend Brunch, Wheelchair Access, Wine",American,0,0,0,0,False,0,False,12/7/2015,2057.0,0.287311618862421
Nare Sushi,https://www.opentable.com/nare-sushi,1,False,2,398,4.3,4.4,4.3,4.0,3.9,Quiet,83.0,Midtown East,"Japanese, Sushi, Kaiseki",Casual Elegant,Casual Dress,Nakamichi (Mitch) Shinohara,"Bar/Lounge, Beer, Cocktails, Corkage Fee, Counter Seating, Delivery, Full Bar, Gender Neutral Restroom, Gluten-free Menu, Happy Hour, Kosher, Non-Smoking, Takeout, Weekend Brunch, Wine",Japanese,1,1,1,1,False,4,True,12/16/2015,2048.0,0.1943359375
Blue Seafood Bar & Restaurant,https://www.opentable.com/r/blue-seafood-bar-and-restaurant-new-york,1,False,1,447,4.6,4.6,4.6,4.5,4.2,Moderate,100.0,Hell's Kitchen,"Seafood, Italian, Mediterranean",Casual Elegant,Business Casual,Andrea Giacomoni,"Banquet, Bar/Lounge, Beer, BYO Wine, Cafe, Cocktails, Corkage Fee, Counter Seating, Full Bar, Gender Neutral Restroom, Gluten-free Menu, Happy Hour, Late Night, Non-Smoking, Outdoor dining, Patio/Outdoor Dining, Private Room, Takeout, Weekend Brunch, Wheelchair Access, Wine",Seafood,0,0,0,0,False,0,False,12/3/2015,2061.0,0.21688500727802038
5 Napkin Burger - Upper East Side,https://www.opentable.com/r/5-napkin-burger-upper-east-side-new-york,1,False,1,253,4.8,4.7,4.4,4.4,4.4,Moderate,75.0,Upper East Side,"Burgers, American, Bar / Lounge / Bottle Service",Casual Dining,Casual Dress,Chef Andy D'Amico,"Bar Dining, Bar/Lounge, Beer, Cocktails, Full Bar, Happy Hour, Late Night, Non-Smoking, Takeout, Weekend Brunch, Wine",Burgers,0,0,0,0,False,0,False,11/6/2015,2088.0,0.12116858237547892
Hudson Hound,https://www.opentable.com/hudson-hound,1,False,1,70,4.9,4.5,4.9,4.7,4.6,Moderate,100.0,West Village,"American, Modern European, Irish",Casual Dining,Casual Dress,Donal Crosbie,"Bar/Lounge, Beer, Cocktails, Counter Seating, Delivery, Fireplace, Full Bar, Non-Smoking, Private Room, Takeout, Weekend Brunch, Wine",American,1,1,1,1,False,4,True,11/8/2015,2086.0,0.03355704697986577
Chazz Palminteri Italian Restaurant,https://www.opentable.com/chazz-palminteri-ristorante-italiano,1,False,3,1564,4.8,4.8,4.9,4.8,4.5,Quiet,100.0,Theater District / Times Square,"Italian, Steakhouse",Fine Dining,Business Casual,,"Banquet, Bar/Lounge, Beer, Cocktails, Counter Seating, Delivery, Full Bar, Happy Hour, Non-Smoking, Wheelchair Access, Wine",Italian,1,1,1,1,False,4,True,10/24/2015,2101.0,0.7444074250356972
Wollensky’s Grill,https://www.opentable.com/wollenskys-grill-new-york,1,False,2,708,4.6,4.7,4.7,4.6,4.3,Moderate,100.0,Midtown East,"Steakhouse, Steak, Burgers",Casual Dining,Business Casual,Elman Gallardo,"Banquet, Bar/Lounge, Beer, Beer Garden, Cafe, Chef's Table, Cocktails, Corkage Fee, Counter Seating, Delivery, Fireplace, Full Bar, Happy Hour, Late Night, Non-Smoking, Outdoor dining, Patio/Outdoor Dining, Private Room, Takeout, View, Wine",Steakhouse,0,0,0,0,False,0,False,10/18/2015,2107.0,0.33602278120550544
Dos Caminos - Times Square,https://www.opentable.com/dos-caminos-times-square,1,False,1,1655,4.2,4.2,4.2,4.1,3.8,Moderate,78.0,Theater District / Times Square,"Mexican, Bar / Lounge / Bottle Service, Unspecified",Casual Dining,Casual Dress,Ariel Fox,"Bar/Lounge, Beer, Full Bar, Happy Hour, Late Night, Private Room, Takeout, View, Weekend Brunch, Wine",Mexican,1,1,0,1,False,3,True,9/12/2015,2143.0,0.7722818478768082
L'Amico,https://www.opentable.com/r/lamico-new-york,1,False,3,2056,4.7,4.7,4.6,4.6,4.3,Moderate,95.0,Chelsea,"American, Italian",Casual Elegant,Smart Casual,Emilie Walsh,"Banquet, Bar/Lounge, Beer, BYO Wine, Chef's Table, Cocktails, Corkage Fee, Counter Seating, Delivery, Full Bar, Outdoor dining, Patio/Outdoor Dining, Private Room, Takeout, Weekend Brunch, Wheelchair Access, Wine",American,1,1,0,1,False,3,True,9/12/2015,2143.0,0.9594027064862343
Numero 28 Pizzeria - West Village,https://www.opentable.com/numero-28-pizzeria-west-village,1,False,1,165,4.7,4.9,4.7,4.5,4.5,Moderate,100.0,West Village,Italian,Casual Dining,Casual Dress,Eugenia Biamonte,"Banquet, Bar/Lounge, Beer, BYO Wine, Cocktails, Counter Seating, Delivery, Entertainment, Full Bar, Gluten-free Menu, Non-Smoking, Takeout, Weekend Brunch, Wheelchair Access, Wine",Italian,1,1,1,1,False,4,True,10/19/2015,2106.0,0.07834757834757834
Hard Rock Cafe - Times Square,https://www.opentable.com/hard-rock-cafe-times-square,1,False,1,2338,4.2,4.2,4.2,4.4,3.9,Moderate,92.0,Theater District / Times Square,American,Casual Dining,Casual Dress,,"Banquet, Bar/Lounge, Beer, Cafe, Cocktails, Entertainment, Full Bar, Gluten-free Menu, Late Night, Non-Smoking, Private Room, View, Weekend Brunch, Wheelchair Access, Wine",American,0,0,0,0,False,0,False,7/28/2015,2189.0,1.0680676107811786
Danji,https://www.opentable.com/danji,1,False,2,1103,4.7,4.8,4.7,4.4,4.4,Moderate,84.0,Hell's Kitchen,"Korean, Contemporary Korean, Asian",Casual Dining,Casual Dress,Hooni Kim,"Bar/Lounge, Beer, Cocktails, Corkage Fee, Delivery, Full Bar, Gender Neutral Restroom, Gluten-free Menu, Non-Smoking, Outdoor dining, Takeout, Wheelchair Access, Wine",Korean,1,1,1,1,False,4,True,7/21/2015,2196.0,0.5022768670309654
Yakiniku Futago,https://www.opentable.com/yakiniku-futago,1,False,2,411,4.8,4.8,4.6,4.7,4.2,Moderate,93.0,Union Square,"Japanese, Korean, Contemporary Asian",Fine Dining,Formal Attire,Sunchol Lee,"Beer, Cocktails, Delivery, Gender Neutral Restroom, Non-Smoking, Outdoor dining, Patio/Outdoor Dining, Takeout, View, Wheelchair Access, Wine",Japanese,1,1,1,1,False,4,True,8/8/2015,2178.0,0.1887052341597796
The Ribbon - UWS,https://www.opentable.com/r/the-ribbon-nyc,1,False,3,1415,4.2,4.2,4.1,4.1,3.8,Moderate,72.0,Upper West Side,"Contemporary American, Comfort Food, French",Casual Dining,Casual Dress,,"Banquet, Bar/Lounge, Beer, BYO Wine, Cocktails, Corkage Fee, Delivery, Full Bar, Gender Neutral Restroom, Happy Hour, Late Night, Non-Smoking, Outdoor dining, Private Room, Takeout, Weekend Brunch, Wheelchair Access, Wine",Contemporary American,1,1,1,1,False,4,True,6/28/2015,2219.0,0.6376746282109058
Delice & Sarrasin,https://www.opentable.com/r/delice-and-sarrasin-new-york,1,False,2,945,4.6,4.6,4.6,4.4,4.4,Moderate,89.0,West Village,"Vegan, French, Vegetarian / Vegan",Casual Dining,Casual Dress,Yvette Caron,"Cafe, Delivery, Fireplace, Gluten-free Menu, High Tea, Non-Smoking, Takeout, Weekend Brunch, Wheelchair Access, Wine",Vegan,1,1,1,1,False,4,True,6/28/2015,2219.0,0.42586750788643535
Bistrot Leo,https://www.opentable.com/r/bistrot-leo-new-york,1,False,3,91,4.6,4.5,4.4,4.6,4.1,Moderate,100.0,SoHo,French,Casual Dining,Smart Casual,,"Banquet, Bar/Lounge, Cafe, Cocktails, Delivery, Full Bar, Happy Hour, Outdoor dining, Patio/Outdoor Dining, Private Room, Takeout, Weekend Brunch, Wheelchair Access, Wine",French,1,1,1,1,False,4,True,4/13/2018,1199.0,0.07589658048373644
Yakitori Tori Shin,https://www.opentable.com/yakitori-tori-shin-west,1,False,3,716,4.8,4.8,4.8,4.6,4.3,Moderate,100.0,Midtown West,"Japanese, Yakitori, Japanese Speciality",Casual Elegant,Smart Casual,"Shu Ikeda, Akihiko Urashi","Beer, Chef's Table, Cocktails, Corkage Fee, Delivery, Gluten-free Menu, Non-Smoking, Outdoor dining, Takeout, Wheelchair Access, Wine",Japanese,1,1,1,1,False,4,True,6/27/2015,2220.0,0.3225225225225225
Korali,https://www.opentable.com/korali,1,False,2,944,4.6,4.6,4.5,4.5,4.2,Moderate,95.0,Upper East Side,"Greek, Seafood",Casual Dining,Smart Casual,,"Banquet, Bar/Lounge, Beer, Cafe, Cocktails, Corkage Fee, Counter Seating, Dancing, Delivery, Entertainment, Full Bar, Gluten-free Menu, Late Night, Non-Smoking, Private Room, Takeout, View, Weekend Brunch, Wheelchair Access, Wine",Greek,0,0,0,0,False,0,False,5/16/2015,2262.0,0.41732979664014147
The Grange,https://www.opentable.com/the-grange,1,False,2,381,4.5,4.3,4.6,4.6,4.1,Moderate,80.0,Harlem,American,Casual Dining,Casual Dress,,"Beer, Cocktails, Counter Seating, Delivery, Entertainment, Full Bar, Gender Neutral Restroom, Gluten-free Menu, Happy Hour, Outdoor dining, Patio/Outdoor Dining, Private Room, Takeout, Weekend Brunch, Wheelchair Access, Wine",American,1,1,1,1,False,4,True,3/24/2015,2315.0,0.16457883369330453
Da Nico Ristorante - Manhattan Location,https://www.opentable.com/da-nico-ristorante-manhattan-location,1,False,1,1014,4.7,4.7,4.6,4.6,4.5,Moderate,92.0,Little Italy,Italian,Casual Dining,Casual Dress,,"Banquet, Beer, Delivery, Full Bar, Gluten-free Menu, Non-Smoking, Outdoor dining, Private Room, Takeout, Wheelchair Access, Wine",Italian,0,0,0,0,False,0,False,3/30/2015,2309.0,0.43915114768297964
Javelina - Union Square,https://www.opentable.com/r/javelina-union-square-new-york,1,False,2,694,4.7,4.6,4.5,4.3,4.3,Moderate,86.0,Gramercy / Flatiron,"Tex-Mex, Mexican / Southwestern, Mexican",Casual Dining,Casual Dress,Lawrence Ofori,"Bar/Lounge, Beer, BYO Wine, Cocktails, Corkage Fee, Delivery, Full Bar, Gender Neutral Restroom, Gluten-free Menu, Late Night, Non-Smoking, Outdoor dining, Patio/Outdoor Dining, Takeout, Weekend Brunch, Wheelchair Access, Wine",Tex-Mex,1,1,1,1,False,4,True,3/9/2015,2330.0,0.2978540772532189
Zuma Japanese Restaurant - NY,https://www.opentable.com/zuma-japanese-restaurant-ny,1,False,3,1273,4.6,4.6,4.5,4.6,4.1,Moderate,57.0,Midtown East,"Japanese, Sushi, Contemporary Asian",Casual Elegant,Smart Casual,Oliver Lange,"Bar/Lounge, Chef's Table, Cocktails, Counter Seating, Entertainment, Full Bar, Late Night, Non-Smoking, Private Room, Wheelchair Access, Wine",Japanese,1,1,1,1,False,4,True,2/17/2015,2350.0,0.5417021276595745
Ainsworth Midtown,https://www.opentable.com/r/ainsworth-midtown-new-york,1,False,2,201,4.2,4.3,4.0,4.0,4.0,Moderate,70.0,Murray Hill,Contemporary American,Casual Dining,Casual Dress,,"Banquet, Bar/Lounge, Beer, Cocktails, Counter Seating, Entertainment, Full Bar, Happy Hour, Late Night, Non-Smoking, Outdoor dining, Patio/Outdoor Dining, Private Room, Takeout, View, Weekend Brunch, Wheelchair Access, Wine",Contemporary American,1,1,1,1,False,4,True,3/4/2015,2335.0,0.0860813704496788
Bar Primi,https://www.opentable.com/bar-primi,1,False,1,1208,4.8,4.7,4.5,4.7,4.4,Moderate,100.0,Lower East Side,Italian,Casual Dining,Casual Dress,Andrew Carmellini,"Bar Dining, Bar/Lounge, Beer, Cocktails, Corkage Fee, Counter Seating, Fireplace, Full Bar, Gluten-free Menu, Happy Hour, Late Night, Non-Smoking, Outdoor dining, Weekend Brunch, Wheelchair Access, Wine",Italian,0,0,0,0,False,0,False,1/17/2015,2381.0,0.5073498530029399
Hunt & Fish Club NYC,https://www.opentable.com/r/hunt-and-fish-club-nyc-new-york,1,False,3,2007,4.7,4.7,4.8,4.6,4.6,Moderate,100.0,Theater District / Times Square,"Steakhouse, Contemporary American, Seafood",Fine Dining,Smart Casual,Chad Brown ,"Banquet, Bar Dining, Bar/Lounge, Beer, BYO Wine, Chef's Table, Corkage Fee, Full Bar, Late Night, Non-Smoking, Private Room, Wheelchair Access, Wine",Steakhouse,0,0,0,0,False,0,False,1/9/2015,2389.0,0.8401004604437003
Bocado Cafe,https://www.opentable.com/bocado-cafe,1,False,1,697,4.5,4.4,4.5,4.3,4.2,Moderate,89.0,Upper East Side,American,Casual Dining,Casual Dress,,"Bar Dining, Beer, Counter Seating, Happy Hour, Non-Smoking, Weekend Brunch, Wheelchair Access, Wine",American,0,0,0,0,False,0,False,2/16/2015,2351.0,0.29646958740961293
Blue Ribbon Brasserie,https://www.opentable.com/blue-ribbon-brasserie,1,False,2,729,4.8,4.8,4.8,4.6,4.4,Moderate,100.0,SoHo,Contemporary American,Casual Elegant,Casual Dress,Eric & Bruce Bromberg,"Beer, BYO Wine, Cocktails, Corkage Fee, Delivery, Full Bar, Non-Smoking, Takeout, Wheelchair Access, Wine",Contemporary American,1,1,1,1,False,4,True,1/2/2015,2396.0,0.30425709515859767
Adalya,https://www.opentable.com/adalya,1,False,1,120,4.5,4.3,4.5,4.5,4.4,Moderate,83.0,Gramercy / Flatiron,"Global, International",Casual Dining,Business Casual,,"Bar Dining, Full Bar, Late Night, Outdoor dining",Global,0,0,0,0,False,0,False,12/26/2014,2403.0,0.049937578027465665
Da Claudio Ristorante,https://www.opentable.com/da-claudio-ristorante,1,False,2,537,4.8,4.7,4.8,4.6,4.5,Moderate,97.0,Financial District,"Italian, Mediterranean, Vegetarian",Casual Elegant,Casual Dress,,"Bar/Lounge, Beer, Cocktails, Corkage Fee, Counter Seating, Delivery, Full Bar, Gender Neutral Restroom, Gluten-free Menu, Happy Hour, Non-Smoking, Patio/Outdoor Dining, Takeout, Wheelchair Access, Wine",Italian,1,1,1,1,False,4,True,12/22/2014,2407.0,0.22309929372663065
Porteno Restaurant,https://www.opentable.com/porteno-restaurant,1,False,2,487,4.8,4.6,4.8,4.6,4.5,Moderate,67.0,Chelsea,"Argentinean, Latin American, Latin / Spanish",Casual Elegant,Casual Dress,,"Beer, Cocktails, Full Bar, Gender Neutral Restroom, Gluten-free Menu, Non-Smoking, Takeout, Wheelchair Access, Wine",Argentinean,1,1,1,1,False,4,True,12/6/2014,2423.0,0.20099050763516302
Il Patio di Eataly,https://www.opentable.com/r/il-patio-di-eataly-new-york1,1,False,1,294,4.4,4.4,4.2,4.3,4.0,Moderate,85.0,Gramercy / Flatiron,Italian,Casual Dining,Casual Dress,,"Beer, Cocktails, Non-Smoking, Outdoor dining, Takeout, Wine",Italian,1,1,1,1,False,4,True,2/14/2015,2353.0,0.1249468763280918
Mastro's Steakhouse - New York City,https://www.opentable.com/r/mastros-steakhouse-new-york-city-new-york,1,False,3,3472,4.8,4.8,4.7,4.7,4.5,Moderate,97.0,Rockefeller Center Midtown,"Steak, Steakhouse, Seafood",Fine Dining,Business Casual,Dusmane Abdoulaye Tandia,"Banquet, Bar/Lounge, Cocktails, Corkage Fee, Counter Seating, Dancing, Entertainment, Full Bar, Gluten-free Menu, Late Night, Non-Smoking, Outdoor dining, Patio/Outdoor Dining, Private Room, Takeout, Wheelchair Access, Wine",Steak,1,1,0,1,False,3,True,11/12/2014,2447.0,1.4188802615447487
Bowery Meat Company,https://www.opentable.com/bowery-meat-company,1,False,3,828,4.7,4.7,4.7,4.6,4.2,Moderate,80.0,East Village,"Steakhouse, American",Casual Elegant,Business Casual,Lucas Billheimer,"Banquet, Bar/Lounge, Beer, BYO Wine, Corkage Fee, Full Bar, Gluten-free Menu, Non-Smoking, Outdoor dining, Patio/Outdoor Dining, Private Room, Wheelchair Access, Wine",Steakhouse,1,1,0,1,False,3,True,11/7/2014,2452.0,0.3376835236541599
The Little Beet Table,https://www.opentable.com/the-little-beet-table,1,False,2,1644,4.6,4.7,4.5,4.4,4.3,Moderate,95.0,Gramercy / Flatiron,American,Casual Dining,Casual Dress,,"Beer, BYO Wine, Cocktails, Corkage Fee, Delivery, Full Bar, Gender Neutral Restroom, Gluten-free Menu, Non-Smoking, Outdoor dining, Takeout, Weekend Brunch, Wheelchair Access, Wine",American,1,1,1,1,False,4,True,11/7/2014,2452.0,0.6704730831973899
Limani - NYC,https://www.opentable.com/limani-nyc,1,False,3,2345,4.7,4.7,4.6,4.7,4.3,Moderate,100.0,Rockefeller Center Midtown,"Mediterranean, Greek, Seafood",Fine Dining,Smart Casual,Chef Alam,"Banquet, Bar/Lounge, Beer, Chef's Table, Cocktails, Delivery, Full Bar, Gluten-free Menu, Non-Smoking, Outdoor dining, Private Room, Takeout, View, Wheelchair Access, Wine",Mediterranean,1,1,1,1,False,4,True,11/4/2014,2455.0,0.955193482688391
WILD - West Village,https://www.opentable.com/wild-west-village,1,False,1,244,4.5,4.5,4.3,4.5,4.4,Moderate,80.0,West Village,"American, Italian, Mediterranean",Casual Dining,Casual Dress,,"Beer, Cafe, Chef's Table, Cocktails, Counter Seating, Delivery, Gender Neutral Restroom, Gluten-free Menu, Happy Hour, Non-Smoking, Outdoor dining, Patio/Outdoor Dining, Takeout, Weekend Brunch, Wine",American,0,0,0,0,False,0,False,1/6/2015,2392.0,0.1020066889632107
Old Tbilisi,https://www.opentable.com/old-tbilisi,1,False,1,188,4.7,4.7,4.5,4.6,4.4,Moderate,94.0,Greenwich Village,"Georgian, Eastern European, Wine Bar",Casual Dining,Business Casual,Mzia Gogoladze,"Banquet, Bar/Lounge, Beer, BYO Wine, Cocktails, Delivery, Entertainment, Full Bar, Gender Neutral Restroom, Non-Smoking, Outdoor dining, Patio/Outdoor Dining, Private Room, Takeout, View, Wheelchair Access, Wine",Georgian,0,0,0,0,False,0,False,11/8/2014,2451.0,0.07670338637290902
Finestra,https://www.opentable.com/r/finestra-new-york,1,False,1,237,4.2,4.0,4.5,4.1,4.0,Moderate,78.0,Upper East Side,"Italian, Seafood",Casual Dining,Casual Dress,,"Bar/Lounge, Beer, Cocktails, Delivery, Full Bar, Gluten-free Menu, Non-Smoking, Outdoor dining, Patio/Outdoor Dining, Takeout, Wheelchair Access, Wine",Italian,1,1,1,1,False,4,True,10/8/2014,2482.0,0.09548751007252215
Gran Morsi,https://www.opentable.com/r/gran-morsi-new-york,1,False,2,539,4.8,4.7,4.7,4.7,4.4,Moderate,100.0,TriBeCa - Downtown,"Italian, Modern Tuscan, Pizza Bar",Casual Elegant,Smart Casual,,"Banquet, Bar/Lounge, Beer, BYO Wine, Cocktails, Corkage Fee, Counter Seating, Delivery, Full Bar, Gluten-free Menu, Happy Hour, Non-Smoking, Outdoor dining, Private Room, Takeout, Wheelchair Access, Wine",Italian,1,1,1,1,False,4,True,10/10/2014,2480.0,0.21733870967741936
Bistro Les Amis,https://www.opentable.com/bistro-les-amis,1,False,2,561,4.4,4.3,4.5,4.4,4.2,Moderate,100.0,SoHo,"French, Italian, Bistro",Casual Elegant,Casual Dress,David Snell,"Bar/Lounge, Beer, Cocktails, Corkage Fee, Counter Seating, Delivery, Full Bar, Gluten-free Menu, Late Night, Non-Smoking, Outdoor dining, Patio/Outdoor Dining, Takeout, View, Weekend Brunch, Wine",French,1,1,1,1,False,4,True,10/11/2014,2479.0,0.2263009277934651
Añejo Tribeca,https://www.opentable.com/r/anejo-tribeca-new-york,1,False,2,706,4.4,4.4,4.3,4.5,4.2,Moderate,80.0,TriBeCa - Downtown,"Mexican, Tapas / Small Plates, Contemporary Mexican",Casual Dining,Smart Casual,Ricardo Camacho,"Beer, Cocktails, Delivery, Gender Neutral Restroom, Gluten-free Menu, Non-Smoking, Outdoor dining, Takeout, View, Wine",Mexican,1,1,1,1,False,4,True,8/28/2014,2523.0,0.2798256044391597
212 Steakhouse,https://www.opentable.com/r/212-steakhouse-new-york,1,False,2,1302,4.6,4.6,4.6,4.6,4.4,Moderate,97.0,Midtown East,"Steakhouse, Halal, Seafood",Fine Dining,Casual Dress,Nelson Bitangcol,"Banquet, Bar/Lounge, Beer, Cocktails, Delivery, Full Bar, Happy Hour, Late Night, Private Room, Weekend Brunch, Wine",Steakhouse,1,1,1,0,False,3,True,8/15/2014,2536.0,0.5134069400630915
District Tap House,https://www.opentable.com/district-tap-house,1,False,1,486,4.4,4.2,4.3,4.2,4.1,Moderate,94.0,Theater District / Times Square,American,Casual Dining,Casual Dress,Ivan Aguilar,"Bar/Lounge, Beer, Cocktails, Delivery, Full Bar, Happy Hour, Late Night, Outdoor dining, Outdoor Smoking Area, Patio/Outdoor Dining, Private Room, Wheelchair Access, Wine",American,1,0,0,0,False,1,True,8/19/2014,2532.0,0.19194312796208532
Obica Mozzarella Bar  Pizza e Cucina,https://www.opentable.com/r/obica-mozzarella-bar-pizza-e-cucina-new-york,1,False,2,872,4.4,4.4,4.4,4.3,4.1,Moderate,95.0,Gramercy / Flatiron,"Italian, Mediterranean, Pizzeria",Casual Elegant,Casual Dress,,"Banquet, Bar/Lounge, Beer, BYO Wine, Cocktails, Corkage Fee, Counter Seating, Delivery, Full Bar, Happy Hour, Non-Smoking, Outdoor dining, Private Room, Takeout, Weekend Brunch, Wheelchair Access, Wine",Italian,1,1,1,1,False,4,True,7/25/2014,2557.0,0.3410246382479468
Haru Sushi - W 43rd,https://www.opentable.com/haru-sushi-w-43rd,1,False,2,2044,4.6,4.6,4.5,4.4,4.3,Moderate,87.0,Theater District / Times Square,"Japanese, Sushi, Bar / Lounge / Bottle Service",Casual Elegant,Casual Dress,,"Bar/Lounge, Beer, Cocktails, Delivery, Full Bar, Gluten-free Menu, Happy Hour, Non-Smoking, Patio/Outdoor Dining, Private Room, Takeout, Wine",Japanese,1,1,1,1,False,4,True,6/18/2014,2594.0,0.7879722436391673
Il Mulino Prime - SoHo,https://www.opentable.com/r/il-mulino-prime-soho,1,False,3,513,4.5,4.5,4.4,4.3,3.9,Moderate,86.0,SoHo,"Italian, Steakhouse",Fine Dining,Business Casual,Michele Mazza,"Beer, Full Bar, Non-Smoking, Weekend Brunch, Wheelchair Access, Wine",Italian,0,0,0,0,False,0,False,6/26/2014,2586.0,0.19837587006960558
Jones Wood Foundry,https://www.opentable.com/jones-wood-foundry,1,False,2,508,4.6,4.6,4.5,4.5,4.4,Moderate,93.0,Upper East Side,"British, Gastro Pub, Bar / Lounge / Bottle Service",Casual Dining,Casual Dress,Jason Hicks,"Banquet, Bar/Lounge, Beer, Cocktails, Corkage Fee, Counter Seating, Delivery, Gluten-free Menu, Happy Hour, Non-Smoking, Private Room, Takeout, Weekend Brunch, Wine",British,1,1,1,1,False,4,True,6/20/2014,2592.0,0.19598765432098766
Quality Italian - New York,https://www.opentable.com/r/quality-italian-new-york,1,True,2,3590,4.7,4.7,4.6,4.6,4.1,Moderate,92.0,Midtown West,"Italian, Steak, American",Casual Elegant,Business Casual,Scott Tacinelli & Angie Rito ,"Banquet, Bar/Lounge, Beer, Beer Garden, Cafe, Chef's Table, Cigar Room, Cocktails, Corkage Fee, Counter Seating, Fireplace, Full Bar, Gluten-free Menu, Late Night, Non-Smoking, Outdoor dining, Patio/Outdoor Dining, Private Room, View, Weekend Brunch, Wheelchair Access, Wine",Italian,0,0,0,0,False,0,False,8/3/2013,2913.0,1.2324064538276691
Awadh,https://www.opentable.com/r/awadh-new-york,1,False,2,752,4.4,4.6,3.8,3.8,4.1,Moderate,93.0,Upper West Side,Indian,Fine Dining,Smart Casual,,"Banquet, Bar Dining, Bar/Lounge, Beer, Cocktails, Corkage Fee, Counter Seating, Full Bar, Private Room, Weekend Brunch, Wheelchair Access, Wine",Indian,0,0,0,0,False,0,False,6/13/2014,2599.0,0.2893420546363986
Il Gattopardo,https://www.opentable.com/r/il-gattopardo-new-york,1,True,3,1862,4.7,4.7,4.7,4.7,4.2,Moderate,98.0,Midtown West,Italian,Fine Dining,Business Casual,Vito Gnazzo,"Banquet, Bar/Lounge, Beer, Cocktails, Counter Seating, Delivery, Entertainment, Full Bar, Gluten-free Menu, Late Night, Non-Smoking, Outdoor dining, Patio/Outdoor Dining, Private Room, Takeout, Weekend Brunch, Wine",Italian,0,0,0,0,False,0,False,1/1/2013,3127.0,0.595458906299968
Fonda Chelsea,https://www.opentable.com/r/fonda-chelsea-new-york,1,False,2,682,4.7,4.7,4.5,4.4,4.4,Moderate,94.0,Chelsea,Mexican,Casual Dining,Business Casual,Roberto Santibanez,"Delivery, Gender Neutral Restroom, Outdoor dining, Patio/Outdoor Dining, Takeout, Weekend Brunch, Wheelchair Access",Mexican,1,1,1,1,False,4,True,5/21/2014,2622.0,0.2601067887109077
Altesi Ristorante,https://www.opentable.com/altesi-ristorante,1,False,2,618,4.7,4.6,4.6,4.6,4.2,Quiet,100.0,Upper East Side,"Italian, Modern Tuscan",Casual Elegant,Casual Dress,Edilberto Soriano,"Beer, Cocktails, Delivery, Full Bar, Gender Neutral Restroom, Gluten-free Menu, Outdoor dining, Patio/Outdoor Dining, Takeout, Weekend Brunch, Wheelchair Access, Wine",Italian,1,1,1,1,False,4,True,5/18/2014,2625.0,0.23542857142857143
Racines NY,https://www.opentable.com/racines-ny,1,False,2,733,4.9,4.9,4.9,4.9,4.8,Moderate,100.0,TriBeCa - Downtown,"Contemporary French / American, Wine Bar",Casual Elegant,Smart Casual,Diego Moya,"Banquet, Bar/Lounge, Beer, Chef's Table, Cocktails, Corkage Fee, Counter Seating, Full Bar, Gender Neutral Restroom, Gluten-free Menu, Non-Smoking, Wheelchair Access, Wine",Contemporary French / American,1,1,1,1,False,4,True,5/15/2014,2628.0,0.2789193302891933
Toledo Restaurant,https://www.opentable.com/toledo-restaurant,1,False,3,155,4.4,4.5,4.7,4.5,4.1,Moderate,100.0,Murray Hill,Spanish,Fine Dining,Business Casual,,"Banquet, Bar/Lounge, Beer, Cocktails, Full Bar, Private Room, Takeout, Wheelchair Access, Wine",Spanish,1,1,1,1,False,4,True,5/10/2014,2633.0,0.05886821116597037
Buenos Aires,https://www.opentable.com/r/buenos-aires-new-york,1,True,1,651,4.8,4.7,4.8,4.7,4.6,Moderate,94.0,East Village,Argentinean,Casual Dining,Casual Dress,,"Beer, Cocktails, Delivery, Full Bar, Happy Hour, Non-Smoking, Outdoor dining, Patio/Outdoor Dining, Takeout, Wheelchair Access, Wine",Argentinean,1,0,1,1,False,3,True,1/26/2014,2737.0,0.23785166240409208
Tavern on the Green,https://www.opentable.com/tavern-on-the-green,1,False,2,11691,4.7,4.6,4.6,4.8,4.2,Moderate,93.0,Midtown West,"American, Contemporary American",Casual Elegant,Smart Casual,Bill Peet,"Banquet, Bar/Lounge, Beer, Beer Garden, BYO Wine, Cafe, Cocktails, Corkage Fee, Entertainment, Fireplace, Full Bar, Gender Neutral Restroom, Late Night, Non-Smoking, Outdoor dining, Patio/Outdoor Dining, Private Room, Takeout, View, Weekend Brunch, Wheelchair Access, Wine",American,1,1,1,1,False,4,True,4/29/2015,2279.0,5.12988152698552
