name,url,is_member,promoted,price_tier,review_count,overall,food,service,ambience,value,noise,pct_recommended,neighborhood,cuisines,dining_style,dress_code,chef,tags,primary_cuisine,sanitizing,distancing,ppe,screening
Newly added SEAPORT HOUSE restaurant,https://www.opentable.com/r/seaport-house-new-york?corrid=fc658e81-6b98-40f1-9397-295ff43762f2&avt=eyJ2IjoyLCJtIjoxLCJwIjoxLCJzIjowLCJuIjowfQ&p=1&sd=2021-07-20T20%3A00%3A00,1,1,$30 and under,7 Reviews,4.1,4.3,3.9,4.0,3.6,Moderate,100,Financial District,"Seafood, American",Casual Dining,Casual Dress,,"Bar/Lounge, Beer, Cocktails, Counter Seating, Full Bar, Gender Neutral Restroom, Happy Hour, Non-Smoking, Outdoor dining, Patio/Outdoor Dining, Takeout, Weekend Brunch, Wheelchair Access, Wine",Seafood,1,1,0,0
Newly added Empire Burger House restaurant,https://www.opentable.com/r/empire-burger-house-new-york?corrid=fc658e81-6b98-40f1-9397-295ff43762f2&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjoxLCJuIjowfQ&p=1&sd=2021-07-20T20%3A00%3A00,1,0,$30 and under,6 Reviews,4.4,4.1,4.4,4.3,4.4,Moderate,100,Midtown East,"Burgers, American",Casual Dining,Casual Dress,,"Bar/Lounge, Beer, Counter Seating, Delivery, Non-Smoking, Takeout, Wheelchair Access, Wine",Burgers,1,1,1,1
Newly added El Paso Mexican Restaurants East Harlem restaurant,https://www.opentable.com/r/el-paso-mexican-restaurants-east-harlem-new-york?corrid=fc658e81-6b98-40f1-9397-295ff43762f2&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjoxLCJuIjowfQ&p=1&sd=2021-07-20T20%3A00%3A00,1,0,$31 to $50,6 Reviews,4.1,4.3,3.9,3.9,4.1,Moderate,,East Harlem,Contemporary Mexican,Casual Dining,Casual Dress,,"Bar/Lounge, Beer, Cocktails, Delivery, Entertainment, Full Bar, Gender Neutral Restroom, Happy Hour, Non-Smoking, Outdoor dining, Patio/Outdoor Dining, Takeout, Weekend Brunch, Wheelchair Access, Wine",Contemporary Mexican,1,1,1,1
Newly added Mila's Fish & Hook restaurant,https://www.opentable.com/r/milas-fish-and-hook-new-york?corrid=fc658e81-6b98-40f1-9397-295ff43762f2&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjoxLCJuIjowfQ&p=1&sd=2021-07-20T20%3A00%3A00,1,0,$30 and under,No Reviews,,,,,,,,Lower East Side,Italian,Casual Dining,Business Casual,,"Bar/Lounge, Beer, Cocktails, Delivery, Full Bar, Gluten-free Menu, Happy Hour, Late Night, Outdoor dining, Patio/Outdoor Dining, Takeout, Weekend Brunch, Wine",Italian,,,,
Quality Bistro restaurant,https://www.opentable.com/r/quality-bistro-new-york?corrid=fc658e81-6b98-40f1-9397-295ff43762f2&avt=eyJ2IjoyLCJtIjoxLCJwIjoxLCJzIjowLCJuIjowfQ&p=1&sd=2021-07-20T20%3A00%3A00,1,1,$31 to $50,419 Reviews,4.7,4.7,4.7,4.8,4.2,Moderate,92,Midtown West,"American, Steakhouse, French",Casual Elegant,Business Casual,Craig Koketsu,"Banquet, Bar/Lounge, Beer, Beer Garden, Cafe, Chef's Table, Cocktails, Corkage Fee, Counter Seating, Fireplace, Full Bar, Gender Neutral Restroom, Gluten-free Menu, Happy Hour, Late Night, Non-Smoking, Outdoor dining, Patio/Outdoor Dining, Private Room, View, Wheelchair Access, Wine",American,,,,
Newly added Lena West Village restaurant,https://www.opentable.com/r/lena-west-village-new-york?corrid=fc658e81-6b98-40f1-9397-295ff43762f2&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjoxLCJuIjowfQ&p=1&sd=2021-07-20T20%3A00%3A00,1,0,$31 to $50,15 Reviews,4.9,4.8,4.9,4.8,4.8,Quiet,100,West Village,"French, Basque, Wine Bar",Casual Dining,Casual Dress,David Thual,"Beer, Delivery, Happy Hour, Outdoor dining, Weekend Brunch, Wine",French,1,1,1,1
Newly added Hachi Maki restaurant,https://www.opentable.com/r/hachi-maki-new-york?corrid=fc658e81-6b98-40f1-9397-295ff43762f2&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjoxLCJuIjowfQ&p=1&sd=2021-07-20T20%3A00%3A00,1,0,$30 and under,9 Reviews,3.8,3.6,4.0,4.0,3.6,Quiet,100,Upper West Side,"Japanese, Ramen, Sushi",Casual Dining,Casual Dress,,"Bar/Lounge, Beer, Cocktails, Delivery, Full Bar, Gluten-free Menu, Happy Hour, Late Night, Non-Smoking, Outdoor dining, Patio/Outdoor Dining, Takeout, Wheelchair Access, Wine",Japanese,1,1,1,1
Tudor City Steakhouse restaurant,https://www.opentable.com/r/tudor-city-steakhouse-new-york?corrid=fc658e81-6b98-40f1-9397-295ff43762f2&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjoxLCJuIjowfQ&p=1&sd=2021-07-20T20%3A00%3A00,1,0,$30 and under,12 Reviews,4.3,4.2,4.3,4.5,3.8,Quiet,83,Midtown East,"Steakhouse, Seafood, American",Casual Dining,Casual Dress,,"Bar/Lounge, Beer, Cocktails, Delivery, Full Bar, Happy Hour, Non-Smoking, Outdoor dining, Patio/Outdoor Dining, Private Room, Takeout, View, Wheelchair Access, Wine",Steakhouse,1,1,1,1
Tito Murphy's restaurant,https://www.opentable.com/r/tito-murphys-new-york?corrid=fc658e81-6b98-40f1-9397-295ff43762f2&avt=eyJ2IjoyLCJtIjoxLCJwIjoxLCJzIjowLCJuIjowfQ&p=1&sd=2021-07-20T20%3A00%3A00,1,1,$30 and under,229 Reviews,4.3,4.3,4.2,4.4,4.1,Moderate,91,Theater District / Times Square,"Mexican, Latin / Spanish, South American",Casual Dining,Casual Dress,,"Banquet, Bar/Lounge, Beer, Beer Garden, Cafe, Cocktails, Corkage Fee, Delivery, Entertainment, Full Bar, Gender Neutral Restroom, Gluten-free Menu, Late Night, Outdoor dining, Outdoor Smoking Area, Patio/Outdoor Dining, Private Room, Takeout, Weekend Brunch, Wheelchair Access, Wine",Mexican,1,1,1,1
Newly added Pasta By Hudson restaurant,https://www.opentable.com/r/pasta-by-hudson-new-york?corrid=fc658e81-6b98-40f1-9397-295ff43762f2&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjoxLCJuIjowfQ&p=1&sd=2021-07-20T20%3A00%3A00,1,0,$31 to $50,No Reviews,,,,,,,,Chelsea,Italian,Casual Dining,Business Casual,,"Beer, Cafe, Counter Seating, Delivery, Gluten-free Menu, Happy Hour, Non-Smoking, Outdoor dining, Patio/Outdoor Dining, Takeout, Weekend Brunch, Wine",Italian,1,0,1,1
